file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,5998c9e8,Rayyan Khalid,2025-04-11,21:01:01,-07:00,2025-04-11T21:01:01-07:00,0,6
style.css,2,css,beb7b6a6,Rayyan Khalid,2025-04-18,17:03:00,-07:00,2025-04-18T17:03:00-07:00,0,32
style.css,3,css,beb7b6a6,Rayyan Khalid,2025-04-18,17:03:00,-07:00,2025-04-18T17:03:00-07:00,0,24
style.css,4,css,5998c9e8,Rayyan Khalid,2025-04-11,21:01:01,-07:00,2025-04-11T21:01:01-07:00,0,0
style.css,5,css,5998c9e8,Rayyan Khalid,2025-04-11,21:01:01,-07:00,2025-04-11T21:01:01-07:00,0,0
style.css,6,css,beb7b6a6,Rayyan Khalid,2025-04-18,17:03:00,-07:00,2025-04-18T17:03:00-07:00,0,0
style.css,7,css,5998c9e8,Rayyan Khalid,2025-04-11,21:01:01,-07:00,2025-04-11T21:01:01-07:00,0,5
style.css,8,css,5998c9e8,Rayyan Khalid,2025-04-11,21:01:01,-07:00,2025-04-11T21:01:01-07:00,0,33
style.css,9,css,5998c9e8,Rayyan Khalid,2025-04-11,21:01:01,-07:00,2025-04-11T21:01:01-07:00,0,0
style.css,10,css,5998c9e8,Rayyan Khalid,2025-04-11,21:01:01,-07:00,2025-04-11T21:01:01-07:00,0,0
style.css,11,css,17ff03ab,Rayyan Khalid,2025-04-04,18:18:44,-07:00,2025-04-04T18:18:44-07:00,0,5
style.css,12,css,5998c9e8,Rayyan Khalid,2025-04-11,21:01:01,-07:00,2025-04-11T21:01:01-07:00,0,24
style.css,13,css,5998c9e8,Rayyan Khalid,2025-04-11,21:01:01,-07:00,2025-04-11T21:01:01-07:00,0,9
style.css,14,css,5998c9e8,Rayyan Khalid,2025-04-11,21:01:01,-07:00,2025-04-11T21:01:01-07:00,0,10
style.css,15,css,beb7b6a6,Rayyan Khalid,2025-04-18,17:03:00,-07:00,2025-04-18T17:03:00-07:00,0,24
style.css,16,css,beb7b6a6,Rayyan Khalid,2025-04-18,17:03:00,-07:00,2025-04-18T17:03:00-07:00,0,17
style.css,17,css,5998c9e8,Rayyan Khalid,2025-04-11,21:01:01,-07:00,2025-04-11T21:01:01-07:00,0,0
style.css,18,css,5998c9e8,Rayyan Khalid,2025-04-11,21:01:01,-07:00,2025-04-11T21:01:01-07:00,0,0
style.css,19,css,5998c9e8,Rayyan Khalid,2025-04-11,21:01:01,-07:00,2025-04-11T21:01:01-07:00,0,23
style.css,20,css,5998c9e8,Rayyan Khalid,2025-04-11,21:01:01,-07:00,2025-04-11T21:01:01-07:00,0,4
style.css,21,css,5998c9e8,Rayyan Khalid,2025-04-11,21:01:01,-07:00,2025-04-11T21:01:01-07:00,0,13
style.css,22,css,5998c9e8,Rayyan Khalid,2025-04-11,21:01:01,-07:00,2025-04-11T21:01:01-07:00,0,29
style.css,23,css,5998c9e8,Rayyan Khalid,2025-04-11,21:01:01,-07:00,2025-04-11T21:01:01-07:00,0,23
style.css,24,css,beb7b6a6,Rayyan Khalid,2025-04-18,17:03:00,-07:00,2025-04-18T17:03:00-07:00,0,40
style.css,25,css,beb7b6a6,Rayyan Khalid,2025-04-18,17:03:00,-07:00,2025-04-18T17:03:00-07:00,0,44
style.css,26,css,5998c9e8,Rayyan Khalid,2025-04-11,21:01:01,-07:00,2025-04-11T21:01:01-07:00,0,20
style.css,27,css,5998c9e8,Rayyan Khalid,2025-04-11,21:01:01,-07:00,2025-04-11T21:01:01-07:00,0,18
style.css,28,css,5998c9e8,Rayyan Khalid,2025-04-11,21:01:01,-07:00,2025-04-11T21:01:01-07:00,0,0
style.css,29,css,5998c9e8,Rayyan Khalid,2025-04-11,21:01:01,-07:00,2025-04-11T21:01:01-07:00,0,0
style.css,30,css,5998c9e8,Rayyan Khalid,2025-04-11,21:01:01,-07:00,2025-04-11T21:01:01-07:00,0,6
